Entity,Code,month,year,stringency_index,standard_names
Bahrain,BHR,11,2020,58.32999999999998,Bahrain
Bahrain,BHR,10,2020,63.53129032258067,Bahrain
Bahrain,BHR,9,2020,61.79300000000005,Bahrain
Bahrain,BHR,7,2020,70.5161290322581,Bahrain
Bahrain,BHR,1,2020,3.1354838709677417,Bahrain
Bahrain,BHR,5,2020,75.0,Bahrain
Bahrain,BHR,4,2020,75.98666666666666,Bahrain
Bahrain,BHR,3,2020,49.195483870967756,Bahrain
Bahrain,BHR,2,2020,17.52896551724138,Bahrain
Bahrain,BHR,6,2020,75.0,Bahrain
Bangladesh,BGD,8,2020,80.09,Bangladesh
Bangladesh,BGD,12,2020,80.09000000000002,Bangladesh
Bangladesh,BGD,11,2020,80.08999999999999,Bangladesh
Bangladesh,BGD,10,2020,80.09,Bangladesh
Bangladesh,BGD,9,2020,80.08999999999999,Bangladesh
Bangladesh,BGD,7,2020,77.40451612903225,Bangladesh
Bangladesh,BGD,5,2020,90.61935483870965,Bangladesh
Bangladesh,BGD,6,2020,68.75,Bangladesh
Bangladesh,BGD,4,2020,91.48333333333332,Bangladesh
Bangladesh,BGD,3,2020,44.41516129032258,Bangladesh
Bangladesh,BGD,2,2020,13.889999999999992,Bangladesh
Bangladesh,BGD,1,2020,3.583870967741935,Bangladesh
Barbados,BRB,11,2020,40.74,Barbados
Barbados,BRB,10,2020,32.14,Barbados
Barbados,BRB,9,2020,37.65666666666667,Barbados
Barbados,BRB,8,2020,44.68483870967744,Barbados
Barbados,BRB,7,2020,53.28677419354837,Barbados
Barbados,BRB,12,2020,40.74,Barbados
Barbados,BRB,5,2020,82.19709677419355,Barbados
Barbados,BRB,4,2020,86.914,Barbados
Barbados,BRB,3,2020,34.79870967741935,Barbados
Barbados,BRB,2,2020,12.547931034482753,Barbados
Barbados,BRB,1,2020,3.583870967741935,Barbados
Barbados,BRB,6,2020,71.4206666666667,Barbados
Belarus,BLR,11,2020,22.220000000000017,Belarus
Belarus,BLR,10,2020,17.207096774193563,Belarus
Belarus,BLR,9,2020,16.670000000000012,Belarus
Belarus,BLR,8,2020,16.67000000000001,Belarus
Belarus,BLR,7,2020,16.67000000000001,Belarus
Belarus,BLR,6,2020,16.670000000000012,Belarus
Belarus,BLR,4,2020,16.359666666666673,Belarus
Belarus,BLR,3,2020,4.836774193548388,Belarus
Belarus,BLR,2,2020,0.0,Belarus
Belarus,BLR,1,2020,0.0,Belarus
Belarus,BLR,5,2020,16.67000000000001,Belarus
Belarus,BLR,12,2020,22.220000000000006,Belarus
Belgium,BEL,8,2020,59.01806451612901,Belgium
Belgium,BEL,12,2020,60.190000000000026,Belgium
Belgium,BEL,11,2020,64.50633333333339,Belgium
Belgium,BEL,10,2020,49.909677419354864,Belgium
Belgium,BEL,9,2020,52.59466666666665,Belgium
Belgium,BEL,7,2020,51.343870967741935,Belgium
Belgium,BEL,5,2020,76.55225806451612,Belgium
Belgium,BEL,4,2020,81.48,Belgium
Belgium,BEL,3,2020,49.223225806451616,Belgium
Belgium,BEL,2,2020,11.110000000000008,Belgium
Belgium,BEL,1,2020,0.8964516129032257,Belgium
Belgium,BEL,6,2020,57.06666666666663,Belgium
Belize,BLZ,12,2020,72.22000000000001,Belize
Belize,BLZ,11,2020,67.22500000000002,Belize
Belize,BLZ,10,2020,68.27838709677424,Belize
Belize,BLZ,9,2020,72.23566666666667,Belize
Belize,BLZ,8,2020,72.06096774193553,Belize
Belize,BLZ,7,2020,69.44000000000004,Belize
Belize,BLZ,6,2020,74.07666666666672,Belize
Belize,BLZ,4,2020,75.24666666666666,Belize
Belize,BLZ,3,2020,32.34774193548387,Belize
Belize,BLZ,2,2020,2.683448275862069,Belize
Belize,BLZ,1,2020,0.0,Belize
Belize,BLZ,5,2020,81.4235483870968,Belize
Benin,BEN,8,2020,41.67000000000001,Benin
Benin,BEN,12,2020,40.74,Benin
Benin,BEN,10,2020,46.14580645161291,Benin
Benin,BEN,9,2020,44.63000000000002,Benin
Benin,BEN,7,2020,41.67000000000001,Benin
Benin,BEN,11,2020,38.27066666666667,Benin
Benin,BEN,5,2020,61.91806451612907,Benin
Benin,BEN,4,2020,70.82999999999997,Benin
Benin,BEN,3,2020,24.01612903225806,Benin
Benin,BEN,2,2020,4.311034482758621,Benin
Benin,BEN,1,2020,0.0,Benin
Benin,BEN,6,2020,42.19466666666666,Benin
Bermuda,BMU,12,2020,48.08357142857143,Bermuda
Bermuda,BMU,8,2020,44.44000000000003,Bermuda
Bermuda,BMU,11,2020,37.960000000000015,Bermuda
Bermuda,BMU,10,2020,35.187096774193556,Bermuda
Bermuda,BMU,9,2020,37.53333333333335,Bermuda
Bermuda,BMU,7,2020,48.98161290322584,Bermuda
Bermuda,BMU,1,2020,3.583870967741935,Bermuda
Bermuda,BMU,5,2020,73.11645161290322,Bermuda
Bermuda,BMU,4,2020,91.85500000000002,Bermuda
Bermuda,BMU,3,2020,31.628387096774194,Bermuda
Bermuda,BMU,2,2020,17.71655172413793,Bermuda
Bermuda,BMU,6,2020,65.43333333333332,Bermuda
Bhutan,BTN,12,2020,64.81,Bhutan
Bhutan,BTN,11,2020,69.569,Bhutan
Bhutan,BTN,10,2020,77.78000000000002,Bhutan
Bhutan,BTN,9,2020,86.20400000000001,Bhutan
Bhutan,BTN,8,2020,86.16838709677415,Bhutan
Bhutan,BTN,7,2020,66.45741935483872,Bhutan
Bhutan,BTN,6,2020,83.32999999999997,Bhutan
Bhutan,BTN,5,2020,83.32999999999997,Bhutan
Bhutan,BTN,4,2020,83.32999999999997,Bhutan
Bhutan,BTN,3,2020,38.37967741935485,Bhutan
Bhutan,BTN,2,2020,13.889999999999992,Bhutan
Bhutan,BTN,1,2020,6.1822580645161285,Bhutan
Bolivia,BOL,12,2020,25.930000000000003,Bolivia
Bolivia,BOL,10,2020,84.26000000000005,Bolivia
Bolivia,BOL,9,2020,84.26000000000003,Bolivia
Bolivia,BOL,8,2020,84.26000000000005,Bolivia
Bolivia,BOL,7,2020,84.26000000000005,Bolivia
Bolivia,BOL,11,2020,84.26000000000003,Bolivia
Bolivia,BOL,5,2020,84.26000000000005,Bolivia
Bolivia,BOL,4,2020,84.26000000000003,Bolivia
Bolivia,BOL,3,2020,76.55419354838712,Bolivia
Bolivia,BOL,2,2020,62.03999999999998,Bolivia
Bolivia,BOL,1,2020,62.03999999999998,Bolivia
Bolivia,BOL,6,2020,84.26000000000003,Bolivia
Bosnia and Herzegovina,BIH,12,2020,48.149999999999984,Bosnia and Herzegovina
Bosnia and Herzegovina,BIH,11,2020,46.91500000000001,Bosnia and Herzegovina
Bosnia and Herzegovina,BIH,9,2020,41.852000000000004,Bosnia and Herzegovina
Bosnia and Herzegovina,BIH,8,2020,57.048387096774206,Bosnia and Herzegovina
Bosnia and Herzegovina,BIH,7,2020,56.6,Bosnia and Herzegovina
Bosnia and Herzegovina,BIH,10,2020,40.74,Bosnia and Herzegovina
Bosnia and Herzegovina,BIH,5,2020,79.36096774193545,Bosnia and Herzegovina
Bosnia and Herzegovina,BIH,4,2020,91.32433333333326,Bosnia and Herzegovina
