,standard_names,Population (2020),lat,lng,Confirmed,stringency_index,Infection_rate
74,Israel,8678517,31.046051,34.851612,370240.0,57.991177573847494,1.5038%
75,Italy,60446035,41.87194,12.56738,2159937.0,58.36423869113832,1.5255%
76,Jamaica,2963429,18.109581,-77.297508,12039.0,60.89418684340624,0.1358%
77,Japan,126407422,36.204824,138.252924,193753.0,33.58606352737609,0.0377%
78,Jordan,10220604,36.15000420000001,-95.9882368,272737.0,56.92978046594984,1.4365%
79,Kazakhstan,18815231,48.019573,66.923684,190292.0,64.01022863247864,0.3617%
80,Kenya,53968739,-0.023559,37.906193,93761.0,61.17225278086763,0.0527%
81,Kuwait,4281320,29.31166,47.481766,147531.0,62.00876510938081,0.5377%
82,Kyrgyz Republic,6542426,41.20438,74.766098,78679.0,58.997873053392674,0.4631%
83,Laos,7293542,19.85627,102.495496,41.0,34.86785842293907,0.0002%
84,Latvia,1882408,56.879635,24.603189,29427.0,42.21489590285503,0.6562%
85,Lebanon,6819976,33.854721000000005,35.862285,154944.0,57.67989210233592,0.6850%
86,Lesotho,2145194,-29.609988,28.233608,2109.0,50.064246334310845,0.0269%
87,Liberia,5077411,6.4280550000000005,-9.429499000000002,1779.0,55.117610215053766,0.0097%
88,Libya,6887247,26.3351,17.228331,93772.0,70.09424990730443,0.3858%
89,Lithuania,2715340,55.169438,23.881275,107659.0,44.21212538623163,1.7125%
90,Luxembourg,627704,49.815273,6.1295829999999984,51656.0,43.160277777777786,2.7949%
91,Macau,650846,22.198745,113.543873,0.0,30.182466309367303,0.0000%
92,Madagascar,27808395,-18.766947,46.869107,17780.0,48.134994899365864,0.0311%
93,Malawi,19211425,-13.254307999999998,34.301525,6148.0,45.07561877394638,0.0149%
94,Malaysia,32436963,4.210483999999999,101.975766,65697.0,52.72671945259044,0.1053%
95,Mali,20346106,17.570692,-3.996166000000001,6120.0,38.867679211469536,0.0069%
96,Malta,441750,35.937496,14.375416,12917.0,45.67983833889506,0.8672%
97,Mauritania,4669775,21.00789,-10.940835,12046.0,36.391158774299484,0.0821%
98,Mauritius,1272140,-20.348404,57.55215200000001,858.0,28.68346684587814,0.0411%
99,Mexico,129166028,23.634501,-102.552784,1301546.0,57.26798417995303,0.1537%
100,Moldova,4032294,47.411631,28.369885,133360.0,52.570795173649735,0.7768%
101,Monaco,39290,43.73841760000001,7.424615799999999,154.0,54.186198553948834,0.1298%
102,Mongolia,3287242,46.862496,103.846656,953.0,58.62871656779138,0.0138%
103,Morocco,36985624,31.791702,-7.0926199999999975,412393.0,59.03802240143369,0.3711%
104,Mozambique,31398811,-18.665695,35.529562,17338.0,48.94489472871091,0.0153%
105,Myanmar,54473253,21.916221,95.955974,114198.0,62.30767473118278,0.0722%
106,Namibia,2548663,-22.95764,18.49041,18041.0,43.730991039426534,0.2127%
107,Nepal,29225196,28.394857,84.12400799999998,252724.0,65.82047175874429,0.3180%
108,Netherlands,17141544,52.132633,5.291265999999999,651745.0,47.008725317693056,1.3514%
109,New Zealand,4829021,-40.900557,174.88597099999996,5067.0,35.49257665925102,0.0477%
110,Nicaragua,6638075,12.865416,-85.207229,5938.0,12.43396230379434,0.0265%
111,Niger,24346468,17.607789,8.081666,3696.0,23.502411290322573,0.0049%
112,Nigeria,206984347,9.081999,8.675277000000001,77013.0,53.88597939068101,0.0084%
113,Norway,5428594,60.47202399999999,8.468945999999999,43207.0,41.18343996415771,0.2914%
114,Oman,5128058,21.4735329,55.975413,127019.0,62.03948037943394,0.7623%
115,Pakistan,221612785,30.375321000000003,69.34511599999999,454673.0,54.37084210851564,0.0636%
116,Palestine,5121112,31.952162,35.233154,119612.0,65.0271619700902,0.6632%
117,Panama,4326296,8.537981,-80.782127,206310.0,63.95873604710701,0.9362%
118,Papua New Guinea,8975531,-6.314992999999999,143.95555,943.0,43.042184750733135,0.0075%
119,Paraguay,7147553,-23.442503,-58.44383199999999,98296.0,63.71146684587814,0.3231%
120,Peru,33050211,-9.189967,-75.015152,989457.0,66.87426344086022,0.7252%
121,Philippines,109830324,12.879721,121.774017,456562.0,66.36012449017426,0.1161%
122,Poland,37839255,51.919438,19.145136,1182864.0,46.91368801755035,1.6599%
123,Portugal,10191409,39.39987199999999,-8.224454,392303.0,57.3200752688172,1.5384%
124,Qatar,2889284,25.354826,51.183884,141716.0,60.87263916697564,1.5056%
125,Romania,19214608,45.943161,24.96676,582786.0,49.84253145470276,1.2179%
126,Russia,145945524,61.52401,105.318756,2764843.0,50.60099820788531,0.4588%
127,Rwanda,13005303,-1.940278,29.873888,7105.0,59.72310862972154,0.0157%
128,San Marino,33944,43.94236,12.457777,3444.0,40.54930299097764,2.2154%
129,Saudi Arabia,34905942,23.885942,45.079162,360690.0,55.70150627240144,0.3024%
130,Senegal,16816539,14.497401000000002,-14.452362,17559.0,39.99995430107527,0.0205%
131,Serbia,8731081,44.016521,21.005859,292640.0,49.22372052280313,1.4716%
132,Seychelles,98453,-4.679574,55.491977,202.0,33.86058595970831,0.0711%
133,Sierra Leone,8004158,8.460555000000001,-11.779889,2486.0,35.48899103942652,0.0092%
134,Singapore,5858322,1.352083,103.819836,58386.0,49.63441750092696,0.3195%
135,Slovakia,5460109,48.669026,19.699024,146124.0,44.284193341604634,0.8840%
136,Slovenia,2078989,46.151241,14.995463,103555.0,47.30018637992831,1.9965%
137,Solomon Islands,689671,-9.64571,160.156194,17.0,31.102298170807074,0.0013%
138,Somalia,15965848,5.152149,46.199616,4662.0,32.94903494623656,0.0086%
139,South Africa,59436725,-30.559482,22.937506,901538.0,53.51385483870968,0.5754%
140,South Korea,51276977,35.90775700000001,127.766922,48570.0,47.322043853841116,0.0271%
141,South Sudan,11216250,6.8769918999999975,31.3069788,3228.0,52.814507358264045,0.0090%
142,Spain,46757980,40.46366700000001,-3.74922,2246032.0,55.975557347670254,0.9892%
