,Entity,lat,lng,standard_names
131,Puerto Rico,18.220833,-66.590149,Puerto Rico
132,Qatar,25.354826,51.183884,Qatar
133,Romania,45.943161,24.96676,Romania
134,Russia,61.52401,105.318756,Russia
135,Rwanda,-1.940278,29.873888,Rwanda
136,San Marino,43.94236,12.457777,San Marino
137,Saudi Arabia,23.885942,45.079162,Saudi Arabia
138,Senegal,14.497401,-14.452362,Senegal
139,Serbia,44.016521,21.005859,Serbia
140,Seychelles,-4.679574,55.491977,Seychelles
141,Sierra Leone,8.460555,-11.779889,Sierra Leone
142,Singapore,1.352083,103.819836,Singapore
143,Slovakia,48.669026,19.699024,Slovakia
144,Slovenia,46.151241,14.995463,Slovenia
145,Solomon Islands,-9.64571,160.156194,Solomon Islands
146,Somalia,5.152149,46.199616,Somalia
147,South Africa,-30.559482,22.937506,South Africa
148,South Korea,35.907757,127.766922,South Korea
149,South Sudan,6.876991899999999,31.3069788,South Sudan
150,Spain,40.46366700000001,-3.74922,Spain
151,Sri Lanka,7.873053999999999,80.77179699999999,Sri Lanka
152,Sudan,12.862807,30.217636,Sudan
153,Suriname,3.919305,-56.027783,Suriname
154,Sweden,60.12816100000001,18.643501,Sweden
155,Switzerland,46.818188,8.227511999999999,Switzerland
156,Syria,34.80207499999999,38.996815,Syria
157,Taiwan,23.69781,120.960515,Taiwan
158,Tajikistan,38.861034,71.276093,Tajikistan
159,Tanzania,-6.369028,34.888822,Tanzania
160,Thailand,15.870032,100.992541,Thailand
161,Timor-Leste,-8.874217,125.727539,Timor-Leste
162,Togo,8.619543,0.824782,Togo
163,Tonga,-21.178986,-175.198242,Tonga
164,Trinidad and Tobago,10.691803,-61.222503,Trinidad and Tobago
165,Tunisia,33.886917,9.537499,Tunisia
166,Turkey,38.963745,35.243322,Turkey
167,Turkmenistan,38.969719,59.556278,Turkmenistan
168,Uganda,1.373333,32.290275,Uganda
169,Ukraine,48.379433,31.1655799,Ukraine
170,United Arab Emirates,23.424076,53.847818,United Arab Emirates
171,United Kingdom,55.378051,-3.435973,United Kingdom
172,United States,37.09024,-95.712891,United States
173,Uruguay,-32.522779,-55.765835,Uruguay
174,Uzbekistan,41.377491,64.585262,Uzbekistan
175,Vanuatu,-15.376706,166.959158,Vanuatu
176,Venezuela,6.42375,-66.58973,Venezuela
177,Vietnam,14.058324,108.277199,Vietnam
178,Yemen,15.552727,48.516388,Yemen
179,Zambia,-13.133897,27.849332,Zambia
180,Zimbabwe,-19.015438,29.154857,Zimbabwe
